gene,log2FC,mean_tumor,mean_normal,p_value,t_statistic,rank,adj_p_value,neg_log10_p,significant,direction
GRAMD3,-2.3892,7.3112,9.7004,7.896541384628933e-22,-17.2158,1,1.8067286688031e-17,15.0,True,Downregulated in Tumor
FTO,-2.3343,8.3849,10.7192,2.7388482947483663e-21,-17.7644,2,3.133242449192131e-17,15.0,True,Downregulated in Tumor
HOXA5,-3.7049,5.3718,9.0767,6.191954727528507e-21,-19.1801,3,4.7223974721950744e-17,15.0,True,Downregulated in Tumor
PDGFRA,-2.3789,8.2182,10.5971,2.4764535009080406e-19,-17.016,4,1.4165314025193992e-15,14.848773793335761,True,Downregulated in Tumor
CNN1,-4.726,5.2502,9.9762,1.8350762184464278e-18,-15.2377,5,8.013781298683892e-15,14.096162513921138,True,Downregulated in Tumor
MYH11,-7.1784,3.8315,11.0099,2.101516074829692e-18,-13.9181,6,8.013781298683892e-15,14.096162513921138,True,Downregulated in Tumor
SGSH,-1.0871,8.7682,9.8553,4.073467409516667e-18,-14.2203,7,1.1959711029221395e-14,13.92227931365285,True,Downregulated in Tumor
ARMCX5-GPRASP2,-2.0957,6.6672,8.7629,4.181717143084404e-18,-14.3553,8,1.1959711029221395e-14,13.92227931365285,True,Downregulated in Tumor
OGN,-7.7365,2.1744,9.9109,5.498092710504511e-18,-14.4152,9,1.397737346848258e-14,13.854574430544055,True,Downregulated in Tumor
LMOD1,-5.1118,3.9811,9.0928,2.177816165674177e-17,-13.0893,10,4.9828433870625176e-14,13.302522762679118,True,Downregulated in Tumor
MYLK,-2.5458,9.0543,11.6001,4.5576790334223126e-17,-12.9701,11,9.300612508067697e-14,13.031488449283216,True,Downregulated in Tumor
SPARCL1,-2.1454,10.1616,12.3071,4.9157328898843287e-17,-12.8102,12,9.300612508067697e-14,13.031488449283216,True,Downregulated in Tumor
SMARCA2,-1.2044,8.9189,10.1233,5.284438925038464e-17,-12.8277,13,9.300612508067697e-14,13.031488449283216,True,Downregulated in Tumor
IGBP1,-1.4081,8.555,9.9631,1.0557338000477842e-16,-12.5014,14,1.7253706675066643e-13,12.763117589541608,True,Downregulated in Tumor
MTUS1,-2.0759,8.1455,10.2214,1.55019968269802e-16,-13.204,15,2.3645712493420465e-13,12.626247595275158,True,Downregulated in Tumor
LPCAT2,-1.8466,6.3086,8.1552,2.7723462018942377e-16,-14.0779,16,3.96445506870876e-13,12.401816499876533,True,Downregulated in Tumor
MIR205,-3.9081,7.2962,11.2043,3.9305562606778937e-16,-12.0775,17,5.252167968343534e-13,12.279661393291192,True,Downregulated in Tumor
CLDN11,-3.8548,4.9477,8.8025,4.131950324745787e-16,-12.0607,18,5.252167968343534e-13,12.279661393291192,True,Downregulated in Tumor
FGF1,-4.0237,4.931,8.9547,5.299758318315791e-16,-12.0606,19,6.382024753845541e-13,12.195041515648983,True,Downregulated in Tumor
IL11RA,-2.4247,5.5419,7.9666,5.881886508086632e-16,-12.4051,20,6.728878165251107e-13,12.172057335070555,True,Downregulated in Tumor
APCDD1,-2.9708,6.3451,9.316,7.60901762908404e-16,-13.0551,21,8.284799460453429e-13,12.081717999528598,True,Downregulated in Tumor
NTRK2,-5.466,5.305,10.771,7.966153327359066e-16,-12.2874,22,8.284799460453429e-13,12.081717999528598,True,Downregulated in Tumor
GOLGA8N,-1.8031,8.3055,10.1085,1.1276827671272876e-15,-11.788,23,1.1037546285961734e-12,11.9571274621962,True,Downregulated in Tumor
LAMA3,-5.7152,3.2115,8.9267,1.1577845754505317e-15,-11.7494,24,1.1037546285961734e-12,11.9571274621962,True,Downregulated in Tumor
CGNL1,-2.499,7.2457,9.7447,1.4335778393145752e-15,-11.6566,25,1.3120104385406995e-12,11.882062709638262,True,Downregulated in Tumor
C8orf88,-3.7849,4.6969,8.4817,1.872446412507296e-15,-11.972,26,1.6477528430064205e-12,11.783107930362386,True,Downregulated in Tumor
AQP1,-2.925,7.7385,10.6635,2.0499886569103602e-15,-13.6067,27,1.7313530001871535e-12,11.761614376143218,True,Downregulated in Tumor
TCEAL7,-3.3058,4.2155,7.5214,2.1254792998925356e-15,-13.4404,28,1.7313530001871535e-12,11.761614376143218,True,Downregulated in Tumor
ZBTB44,-1.4242,8.8091,10.2333,2.1944596593281227e-15,-11.5218,29,1.7313530001871535e-12,11.761614376143218,True,Downregulated in Tumor
CSRP1,-1.9949,9.809,11.8039,2.465737010554082e-15,-12.9913,30,1.8508930923643505e-12,11.732618665383828,True,Downregulated in Tumor
NFAT5,-1.5985,8.4763,10.0748,2.5077659905286217e-15,-11.907,31,1.8508930923643505e-12,11.732618665383828,True,Downregulated in Tumor
DKK3,-2.4864,7.8112,10.2976,3.1633130628772605e-15,-12.7654,32,2.261768839957241e-12,11.645551783433994,True,Downregulated in Tumor
CIRBP,-1.7055,10.4204,12.126,4.070387953701059e-15,-11.7337,33,2.822135647899401e-12,11.549422115415702,True,Downregulated in Tumor
VWA5A,-2.1108,7.0716,9.1824,4.779811940438014e-15,-11.3395,35,3.091650437259682e-12,11.5098096162257,True,Downregulated in Tumor
OGT,-1.3558,9.6135,10.9693,4.864484953730269e-15,-11.9917,36,3.091650437259682e-12,11.5098096162257,True,Downregulated in Tumor
SCN4B,-4.4794,2.6106,7.0899,5.146901449833301e-15,-12.996,37,3.182732572221241e-12,11.497199851258951,True,Downregulated in Tumor
THYN1,-1.2735,7.967,9.2405,5.3573147618670636e-15,-11.2115,38,3.2256674145136424e-12,11.491380412981634,True,Downregulated in Tumor
ITM2A,-3.5102,6.9195,10.4297,8.38289771123455e-15,-14.1109,39,4.917966657257603e-12,11.308214420009282,True,Downregulated in Tumor
MXI1,-1.4153,8.9393,10.3545,9.975758339469932e-15,-11.1625,40,5.706133770176801e-12,11.243658051296425,True,Downregulated in Tumor
CCL14,-6.0442,3.6768,9.721,1.0781791527075152e-14,-11.9793,41,6.016765613158036e-12,11.22063690639014,True,Downregulated in Tumor
GOLGA8A,-2.1002,8.4372,10.5375,1.1868523430459601e-14,-11.2676,42,6.334879554796772e-12,11.198261637952506,True,Downregulated in Tumor
PTRF,-2.3019,8.7959,11.0978,1.2031241093350923e-14,-12.7708,43,6.334879554796772e-12,11.198261637952506,True,Downregulated in Tumor
RP4-581F12.1,1.1645,7.735,6.5706,1.2182460682301485e-14,11.4056,44,6.334879554796772e-12,11.198261637952506,True,Upregulated in Tumor
DST,-1.7001,9.1124,10.8125,1.309521246980196e-14,-11.0588,45,6.54574353448029e-12,11.184041014570631,True,Downregulated in Tumor
VPS36,-1.3861,8.0989,9.4851,1.3160148714427158e-14,-11.2942,46,6.54574353448029e-12,11.184041014570631,True,Downregulated in Tumor
MTHFD2,1.456,10.451,8.9951,1.4576163620881346e-14,12.1183,47,6.9864487410604015e-12,11.155743522977298,True,Upregulated in Tumor
